GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Speak only English
HD02_VD02,Margin of Error; Total: - Speak only English
HD01_VD03,Estimate; Total: - Spanish or Spanish Creole:
HD02_VD03,Margin of Error; Total: - Spanish or Spanish Creole:
HD01_VD04,"Estimate; Total: - Spanish or Spanish Creole: - Speak English ""very well"""
HD02_VD04,"Margin of Error; Total: - Spanish or Spanish Creole: - Speak English ""very well"""
HD01_VD05,"Estimate; Total: - Spanish or Spanish Creole: - Speak English less than ""very well"""
HD02_VD05,"Margin of Error; Total: - Spanish or Spanish Creole: - Speak English less than ""very well"""
HD01_VD06,"Estimate; Total: - French (incl. Patois, Cajun):"
HD02_VD06,"Margin of Error; Total: - French (incl. Patois, Cajun):"
HD01_VD07,"Estimate; Total: - French (incl. Patois, Cajun): - Speak English ""very well"""
HD02_VD07,"Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English ""very well"""
HD01_VD08,"Estimate; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well"""
HD02_VD08,"Margin of Error; Total: - French (incl. Patois, Cajun): - Speak English less than ""very well"""
HD01_VD09,Estimate; Total: - French Creole:
HD02_VD09,Margin of Error; Total: - French Creole:
HD01_VD10,"Estimate; Total: - French Creole: - Speak English ""very well"""
HD02_VD10,"Margin of Error; Total: - French Creole: - Speak English ""very well"""
HD01_VD11,"Estimate; Total: - French Creole: - Speak English less than ""very well"""
HD02_VD11,"Margin of Error; Total: - French Creole: - Speak English less than ""very well"""
HD01_VD12,Estimate; Total: - Italian:
HD02_VD12,Margin of Error; Total: - Italian:
HD01_VD13,"Estimate; Total: - Italian: - Speak English ""very well"""
HD02_VD13,"Margin of Error; Total: - Italian: - Speak English ""very well"""
HD01_VD14,"Estimate; Total: - Italian: - Speak English less than ""very well"""
HD02_VD14,"Margin of Error; Total: - Italian: - Speak English less than ""very well"""
HD01_VD15,Estimate; Total: - Portuguese or Portuguese Creole:
HD02_VD15,Margin of Error; Total: - Portuguese or Portuguese Creole:
HD01_VD16,"Estimate; Total: - Portuguese or Portuguese Creole: - Speak English ""very well"""
HD02_VD16,"Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English ""very well"""
HD01_VD17,"Estimate; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well"""
HD02_VD17,"Margin of Error; Total: - Portuguese or Portuguese Creole: - Speak English less than ""very well"""
HD01_VD18,Estimate; Total: - German:
HD02_VD18,Margin of Error; Total: - German:
HD01_VD19,"Estimate; Total: - German: - Speak English ""very well"""
HD02_VD19,"Margin of Error; Total: - German: - Speak English ""very well"""
HD01_VD20,"Estimate; Total: - German: - Speak English less than ""very well"""
HD02_VD20,"Margin of Error; Total: - German: - Speak English less than ""very well"""
HD01_VD21,Estimate; Total: - Yiddish:
HD02_VD21,Margin of Error; Total: - Yiddish:
HD01_VD22,"Estimate; Total: - Yiddish: - Speak English ""very well"""
HD02_VD22,"Margin of Error; Total: - Yiddish: - Speak English ""very well"""
HD01_VD23,"Estimate; Total: - Yiddish: - Speak English less than ""very well"""
HD02_VD23,"Margin of Error; Total: - Yiddish: - Speak English less than ""very well"""
HD01_VD24,Estimate; Total: - Other West Germanic languages:
HD02_VD24,Margin of Error; Total: - Other West Germanic languages:
HD01_VD25,"Estimate; Total: - Other West Germanic languages: - Speak English ""very well"""
HD02_VD25,"Margin of Error; Total: - Other West Germanic languages: - Speak English ""very well"""
HD01_VD26,"Estimate; Total: - Other West Germanic languages: - Speak English less than ""very well"""
HD02_VD26,"Margin of Error; Total: - Other West Germanic languages: - Speak English less than ""very well"""
HD01_VD27,Estimate; Total: - Scandinavian languages:
HD02_VD27,Margin of Error; Total: - Scandinavian languages:
HD01_VD28,"Estimate; Total: - Scandinavian languages: - Speak English ""very well"""
HD02_VD28,"Margin of Error; Total: - Scandinavian languages: - Speak English ""very well"""
HD01_VD29,"Estimate; Total: - Scandinavian languages: - Speak English less than ""very well"""
HD02_VD29,"Margin of Error; Total: - Scandinavian languages: - Speak English less than ""very well"""
HD01_VD30,Estimate; Total: - Greek:
HD02_VD30,Margin of Error; Total: - Greek:
HD01_VD31,"Estimate; Total: - Greek: - Speak English ""very well"""
HD02_VD31,"Margin of Error; Total: - Greek: - Speak English ""very well"""
HD01_VD32,"Estimate; Total: - Greek: - Speak English less than ""very well"""
HD02_VD32,"Margin of Error; Total: - Greek: - Speak English less than ""very well"""
HD01_VD33,Estimate; Total: - Russian:
HD02_VD33,Margin of Error; Total: - Russian:
HD01_VD34,"Estimate; Total: - Russian: - Speak English ""very well"""
HD02_VD34,"Margin of Error; Total: - Russian: - Speak English ""very well"""
HD01_VD35,"Estimate; Total: - Russian: - Speak English less than ""very well"""
HD02_VD35,"Margin of Error; Total: - Russian: - Speak English less than ""very well"""
HD01_VD36,Estimate; Total: - Polish:
HD02_VD36,Margin of Error; Total: - Polish:
HD01_VD37,"Estimate; Total: - Polish: - Speak English ""very well"""
HD02_VD37,"Margin of Error; Total: - Polish: - Speak English ""very well"""
HD01_VD38,"Estimate; Total: - Polish: - Speak English less than ""very well"""
HD02_VD38,"Margin of Error; Total: - Polish: - Speak English less than ""very well"""
HD01_VD39,Estimate; Total: - Serbo-Croatian:
HD02_VD39,Margin of Error; Total: - Serbo-Croatian:
HD01_VD40,"Estimate; Total: - Serbo-Croatian: - Speak English ""very well"""
HD02_VD40,"Margin of Error; Total: - Serbo-Croatian: - Speak English ""very well"""
HD01_VD41,"Estimate; Total: - Serbo-Croatian: - Speak English less than ""very well"""
HD02_VD41,"Margin of Error; Total: - Serbo-Croatian: - Speak English less than ""very well"""
HD01_VD42,Estimate; Total: - Other Slavic languages:
HD02_VD42,Margin of Error; Total: - Other Slavic languages:
HD01_VD43,"Estimate; Total: - Other Slavic languages: - Speak English ""very well"""
HD02_VD43,"Margin of Error; Total: - Other Slavic languages: - Speak English ""very well"""
HD01_VD44,"Estimate; Total: - Other Slavic languages: - Speak English less than ""very well"""
HD02_VD44,"Margin of Error; Total: - Other Slavic languages: - Speak English less than ""very well"""
HD01_VD45,Estimate; Total: - Armenian:
HD02_VD45,Margin of Error; Total: - Armenian:
HD01_VD46,"Estimate; Total: - Armenian: - Speak English ""very well"""
HD02_VD46,"Margin of Error; Total: - Armenian: - Speak English ""very well"""
HD01_VD47,"Estimate; Total: - Armenian: - Speak English less than ""very well"""
HD02_VD47,"Margin of Error; Total: - Armenian: - Speak English less than ""very well"""
HD01_VD48,Estimate; Total: - Persian:
HD02_VD48,Margin of Error; Total: - Persian:
